Profile 1;Profile 1;Profile 2;Profile 2;Profile 3;Profile 3;Profile 4;Profile 4;
[m];[m];[m];[m];[m];[m];[m];[m];
4.9336786e-07;-3.1840733e-08;4.9927809e-07;-2.4910645e-08;4.9590238e-07;-2.6680183e-08;4.9479317e-07;-3.4034938e-08;
5.0540122e-07;-3.0194024e-08;5.1145561e-07;-2.5116358e-08;5.0799756e-07;-2.7246149e-08;5.068613e-07;-3.3773416e-08;
5.1743458e-07;-2.908398e-08;5.2363312e-07;-2.5530764e-08;5.2009274e-07;-2.6893051e-08;5.1892942e-07;-3.4088024e-08;
5.2946794e-07;-2.8619059e-08;5.3581064e-07;-2.5401312e-08;5.3218792e-07;-2.7314685e-08;5.3099755e-07;-3.3850203e-08;
5.415013e-07;-2.8814359e-08;5.4798815e-07;-2.4027828e-08;5.442831e-07;-2.5825821e-08;5.4306568e-07;-3.3505857e-08;
5.5353467e-07;-2.7932632e-08;5.6016566e-07;-2.3920814e-08;5.5637828e-07;-2.4771757e-08;5.551338e-07;-3.3262973e-08;
5.6556803e-07;-2.633474e-08;5.7234318e-07;-2.2451075e-08;5.6847346e-07;-2.4144252e-08;5.6720193e-07;-3.360297e-08;
5.7760139e-07;-2.4810308e-08;5.8452069e-07;-2.2200967e-08;5.8056864e-07;-2.3975867e-08;5.7927006e-07;-3.3092981e-08;
5.8963475e-07;-2.269499e-08;5.9669821e-07;-2.12872e-08;5.9266382e-07;-2.4167366e-08;5.9133818e-07;-3.332442e-08;
6.0166812e-07;-2.1824672e-08;6.0887572e-07;-2.0748686e-08;6.04759e-07;-2.4907516e-08;6.0340631e-07;-3.3114092e-08;
6.1370148e-07;-2.1063562e-08;6.2105324e-07;-1.9993858e-08;6.1685418e-07;-2.5220407e-08;6.1547443e-07;-3.2598795e-08;
6.2573484e-07;-2.1352628e-08;6.3323075e-07;-1.8856677e-08;6.2894936e-07;-2.51974e-08;6.2754256e-07;-3.2297092e-08;
6.377682e-07;-1.9579325e-08;6.4540827e-07;-1.8143917e-08;6.4104454e-07;-2.4016943e-08;6.3961069e-07;-3.2481808e-08;
6.4980157e-07;-1.7898374e-08;6.5758578e-07;-1.6947788e-08;6.5313972e-07;-2.3948209e-08;6.5167881e-07;-3.2445434e-08;
6.6183493e-07;-1.7286956e-08;6.6976329e-07;-1.5848677e-08;6.652349e-07;-2.2059325e-08;6.6374694e-07;-3.2003439e-08;
6.7386829e-07;-1.6391503e-08;6.8194081e-07;-1.4104404e-08;6.7733008e-07;-2.1422235e-08;6.7581506e-07;-3.2505619e-08;
6.8590165e-07;-1.5789039e-08;6.9411832e-07;-1.3408635e-08;6.8942526e-07;-2.0731257e-08;6.8788319e-07;-3.3144915e-08;
6.9793501e-07;-1.4711686e-08;7.0629584e-07;-1.193685e-08;7.0152044e-07;-1.9748897e-08;6.9995132e-07;-3.3006109e-08;
7.0996838e-07;-1.2781782e-08;7.1847335e-07;-1.1315265e-08;;;7.1201944e-07;-3.3066572e-08;
7.2200174e-07;-1.032103e-08;7.3065087e-07;-8.7285289e-09;;;7.2408757e-07;-3.3657889e-08;
7.340351e-07;-9.2357318e-09;7.4282838e-07;-7.3583672e-09;;;7.361557e-07;-3.4546295e-08;
;;7.550059e-07;-7.0719762e-09;;;7.4822382e-07;-3.4826569e-08;
;;7.6718341e-07;-6.287329e-09;;;7.6029195e-07;-3.3623797e-08;
;;7.7936092e-07;-5.7964244e-09;;;7.7236007e-07;-3.2946486e-08;
;;7.9153844e-07;-4.5935983e-09;;;7.844282e-07;-3.2744546e-08;
;;8.0371595e-07;-4.4981135e-09;;;7.9649633e-07;-3.1371727e-08;
;;8.1589347e-07;-4.7225333e-09;;;8.0856445e-07;-3.0445566e-08;
;;8.2807098e-07;-4.5849217e-09;;;8.2063258e-07;-2.914394e-08;
;;;;;;8.3270071e-07;-2.7317377e-08;
;;;;;;8.4476883e-07;-2.6458564e-08;
;;;;;;8.5683696e-07;-2.5445187e-08;
;;;;;;8.6890508e-07;-2.3318108e-08;
;;;;;;8.8097321e-07;-2.1638584e-08;
;;;;;;8.9304134e-07;-2.0593306e-08;
;;;;;;9.0510946e-07;-1.8439857e-08;
;;;;;;9.1717759e-07;-1.783754e-08;
;;;;;;9.2924571e-07;-1.7199057e-08;
;;;;;;9.4131384e-07;-1.7038705e-08;
;;;;;;9.5338197e-07;-1.6106021e-08;
;;;;;;9.6545009e-07;-1.5165277e-08;
